"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2008,"schleicher","48413","Barack Obama","democrat",3.3,0.248466257668712
2008,"scurry","48415","Barack Obama","democrat",4,0.195367211348537
2008,"shackelford","48417","Barack Obama","democrat",2.6,0.138205980066445
2008,"shelby","48419","Barack Obama","democrat",4.7,0.276355748373102
2008,"sherman","48421","Barack Obama","democrat",3.7,0.124509803921569
2008,"smith","48423","Barack Obama","democrat",4.8,0.29821143525094
2008,"somervell","48425","Barack Obama","democrat",4.5,0.226153410699123
2008,"starr","48427","Barack Obama","democrat",11.3,0.844975490196078
2008,"stephens","48429","Barack Obama","democrat",3.6,0.177538287010777
2008,"sterling","48431","Barack Obama","democrat",2.8,0.15670436187399
2008,"stonewall","48433","Barack Obama","democrat",3.3,0.280272108843537
2008,"sutton","48435","Barack Obama","democrat",2,0.241444866920152
2008,"swisher","48437","Barack Obama","democrat",4.4,0.320710059171598
2008,"tarrant","48439","Barack Obama","democrat",4.8,0.437321912392432
2008,"taylor","48441","Barack Obama","democrat",3.7,0.267501422879909
2008,"terrell","48443","Barack Obama","democrat",6.7,0.358381502890173
2008,"terry","48445","Barack Obama","democrat",4.1,0.322196261682243
2008,"throckmorton","48447","Barack Obama","democrat",3.4,0.198090692124105
2008,"titus","48449","Barack Obama","democrat",4.3,0.340183883180097
2008,"tom green","48451","Barack Obama","democrat",4.1,0.287125910295669
2008,"travis","48453","Barack Obama","democrat",4.2,0.638692628371141
2008,"trinity","48455","Barack Obama","democrat",5.4,0.316768142175415
2008,"tyler","48457","Barack Obama","democrat",5.9,0.273830594184577
2008,"upshur","48459","Barack Obama","democrat",4.2,0.249934054339224
2008,"upton","48461","Barack Obama","democrat",3.1,0.240601503759398
2008,"uvalde","48463","Barack Obama","democrat",5.7,0.47068218115446
2008,"val verde","48465","Barack Obama","democrat",5.8,0.544617784711388
2008,"van zandt","48467","Barack Obama","democrat",4.3,0.220887472419711
2008,"victoria","48469","Barack Obama","democrat",3.8,0.328488857706057
2008,"walker","48471","Barack Obama","democrat",5.2,0.383056513109788
2008,"waller","48473","Barack Obama","democrat",5,0.461245808614908
2008,"ward","48475","Barack Obama","democrat",3.9,0.249583564686285
2008,"washington","48477","Barack Obama","democrat",3.9,0.280587048758434
2008,"webb","48479","Barack Obama","democrat",5.3,0.714465731188996
2008,"wharton","48481","Barack Obama","democrat",4.3,0.342419198224442
2008,"wheeler","48483","Barack Obama","democrat",2.4,0.139866369710468
2008,"wichita","48485","Barack Obama","democrat",4.8,0.301596276803967
2008,"wilbarger","48487","Barack Obama","democrat",3.5,0.265247283211355
2008,"willacy","48489","Barack Obama","democrat",8.8,0.695288598817051
2008,"williamson","48491","Barack Obama","democrat",4.5,0.42733407826872
2008,"wilson","48493","Barack Obama","democrat",4.6,0.327630453378956
2008,"winkler","48495","Barack Obama","democrat",3.7,0.234744094488189
2008,"wise","48497","Barack Obama","democrat",4.3,0.216628712631426
2008,"wood","48499","Barack Obama","democrat",5,0.225483580746739
2008,"yoakum","48501","Barack Obama","democrat",3,0.183075671277461
2008,"young","48503","Barack Obama","democrat",3.4,0.178370978781656
2008,"zapata","48505","Barack Obama","democrat",5.5,0.676552686671319
2008,"zavala","48507","Barack Obama","democrat",10.6,0.841847265221878
2012,"anderson","48001","Barack Obama","democrat",6.3,0.23519615099926
2012,"andrews","48003","Barack Obama","democrat",4,0.177376171352075
2012,"angelina","48005","Barack Obama","democrat",6.9,0.27578680560445
2012,"aransas","48007","Barack Obama","democrat",7,0.280265339966833
2012,"archer","48009","Barack Obama","democrat",5.5,0.126080691642651
2012,"armstrong","48011","Barack Obama","democrat",4.5,0.104812834224599
2012,"atascosa","48013","Barack Obama","democrat",6.7,0.40350601367817
2012,"austin","48015","Barack Obama","democrat",6.4,0.193321315134346
2012,"bailey","48017","Barack Obama","democrat",6.9,0.256607929515418
2012,"bandera","48019","Barack Obama","democrat",6.6,0.197290431837426
2012,"bastrop","48021","Barack Obama","democrat",6.7,0.402924717127568
2012,"baylor","48023","Barack Obama","democrat",5.1,0.167713567839196
2012,"bee","48025","Barack Obama","democrat",7,0.438126665820536
2012,"bell","48027","Barack Obama","democrat",7.4,0.411943484212236
